Abashiri Station,網走駅（あばしり）
Iwata Station (Shizuoka),磐田駅（いわた）
Iwata Station (Yamaguchi),岩田駅 (山口県)（いわた）
Iwatakiguchi Station,岩滝口駅（いわたきぐち）
Iwate-Funakoshi Station,岩手船越駅（いわてふなこし）
Iwate-Futsukamachi Station,岩手二日町駅（いわてふつかまち）
Iwate-Iioka Station,岩手飯岡駅（いわていいおか）
Iwate-Kamigō Station,岩手上郷駅（いわてかみごう）
Iwate-Kariya Station,岩手刈屋駅（いわてかりや）
Iwate-Kawaguchi Station,岩手川口駅（いわてかわぐち）
Iwate-Numakunai Station,いわて沼宮内駅（いわてぬまくない）
Iwate-Ōkawa Station,岩手大川駅（いわておおかわ）
Iwate-Wainai Station,岩手和井内駅（いわてわいない）
Iwato Station,石刀駅（いわと）
Iwatsuka Station,岩塚駅（いわつか）
Iwatsuki Station,岩槻駅（いわつき）
Iwaya Station (Hyogo),岩屋駅 (兵庫県)（いわや）
Iwaya Station (Saga),岩屋駅 (佐賀県)（いわや）
Iwayama Station,岩山駅（いわやま）
Iya Station,揖屋駅（いや）
Iyaguchi Station,祖谷口駅（いやぐち）
Iyo-Doi Station,伊予土居駅（いよどい）
Iyo-Himi Station,伊予氷見駅（いよひみ）
Iyo-Hirano Station,伊予平野駅（いよひらの）
Iyo-Hōjō Station,伊予北条駅（いよほうじょう）
Iyo-Iwaki Station,伊予石城駅（いよいわき）
Iyo-Izushi Station,伊予出石駅（いよいずし）
Iyo-Kameoka Station,伊予亀岡駅（いよかめおか）
Iyo-Kaminada Station,伊予上灘駅（いよかみなだ）
Iyoki Station,伊与喜駅（いよき）
Iyo-Komatsu Station,伊予小松駅（いよこまつ）
Iyo-Mishima Station,伊予三島駅（いよみしま）
Iyo-Miyanoshita Station,伊予宮野下駅（いよみやのした）
Iyo-Miyoshi Station,伊予三芳駅（いよみよし）
Iyo-Nagahama Station,伊予長浜駅（いよながはま）
Iyo-Nakayama Station,伊予中山駅（いよなかやま）
Iyo-Ōhira Station,伊予大平駅（いよおおひら）
Iyo-Ōzu Station,伊予大洲駅（いよおおず）
Iyo-Saijō Station,伊予西条駅（いよさいじょう）
Iyo-Sakurai Station,伊予桜井駅（いよさくらい）
Iyo-Sangawa Station,伊予寒川駅（いよさんがわ）
Iyoshi Station,伊予市駅（いよし）
Iyo-Shirataki Station,伊予白滝駅（いよしらたき）
Iyo-Tachibana Station,いよ立花駅（いよたちばな）
Iyo-Tachikawa Station,伊予立川駅（いよたちかわ）
Iyo-Tomita Station,伊予富田駅（いよとみた）
Iyo-Wake Station,伊予和気駅（いよわけ）
Iyo-Yokota Station,伊予横田駅（いよよこた）
Iyo-Yoshida Station,伊予吉田駅（いよよしだ）
Izu-Atagawa Station,伊豆熱川駅（いずあたがわ）
Izue Station,いずえ駅（いずえ）
Izu-Hokkawa Station,伊豆北川駅（いずほっかわ）
Izu-Inatori Station,伊豆稲取駅（いずいなとり）
Izukōgen Station,伊豆高原駅（いずこうげん）
Izukyu Shimoda Station,伊豆急下田駅（いずきゅうしもだ）
Izume Station,出目駅（いずめ）
Izumi Station (Fukushima),泉駅 (福島市)（いずみ）
Izumi Station (Iwaki),泉駅 (福島県いわき市)（いずみ）
Izumi Station (Kagoshima),出水駅（いずみ）
Izumi-Chūō Station (Kanagawa),いずみ中央駅（いずみちゅうおう）
Izumi-Chūō Station (Miyagi),泉中央駅（いずみちゅうおう）
Izumi-Chūō Station (Osaka),和泉中央駅（いずみちゅうおう）
Izumi-Fuchū Station,和泉府中駅（いずみふちゅう）
Izumigaoka Station,泉ヶ丘駅（いずみがおか）
Izumigō Station,泉郷駅（いずみごう）
Izumi-Hashimoto Station,和泉橋本駅（いずみはしもと）
Izumino Station,いずみ野駅（いずみの）
Izumi-Omiya Station,和泉大宮駅（いずみおおみや）
Izumiotsu Station,泉大津駅（いずみおおつ）
Izumisano Station,泉佐野駅（いずみさの）
Izumisawa Station,泉沢駅（いずみさわ）
Izumi-Sunagawa Station,和泉砂川駅（いずみすながわ）
Izumita Station,泉田駅（いずみた）
Izumi-Taiikukan Station,泉体育館駅（いずみたいいくかん）
Izumi-Tamagawa Station,和泉多摩川駅（いずみたまがわ）
Izumi-Tottori Station,和泉鳥取駅（いずみとっとり）
Izumizaki Station,泉崎駅（いずみざき）
Izumma Station,出馬駅（いずんま）
Izumo-Daitō Station,出雲大東駅（いずもだいとう）
Izumo-Jinzai Station,出雲神西駅（いずもじんざい）
Izumo-kagakukan Park Town-mae Station,出雲科学館パークタウン前駅（いずもかがくかんパークタウンまえ）
Izumo-Minari Station,出雲三成駅（いずもみなり）
Izumo-Sakane Station,出雲坂根駅（いずもさかね）
Izumoshi Station,出雲市駅（いずもし）
Izumo Taisha-mae Station,出雲大社前駅（いずもたいしゃまえ）
Izumo-Yashiro Station,出雲八代駅（いずもやしろ）
Izumo-Yokota Station,出雲横田駅（いずもよこた）
Izumozaki Station,出雲崎駅（いずもざき）
Izu-Nagaoka Station,伊豆長岡駅（いずながおか）
Izu-Nitta Station,伊豆仁田駅（いずにった）
Izu-Ōkawa Station,伊豆大川駅（いずおおかわ）
Izu-Taga Station,伊豆多賀駅（いずたが）
JA Hiroshimabyouin-mae Station,JA広島病院前駅（じぇいえーひろしまびょういんまえ）
Jatco-mae Station,ジヤトコ前駅（じやとこまえ）
Jichi-idai Station,自治医大駅（じちいだい）
Jidōshagakkōmae Station,自動車学校前駅（じどうしゃがっこうまえ）
Jieitaimae Station,自衛隊前駅（じえいたいまえ）
Jifuku Station,地福駅（じふく）
Jigenji Station,慈眼寺駅（じげんじ）
Jigozen Station,地御前駅（じごぜん）
Jike Station,寺家駅（じけ）
Jikkokutōge Station,十国峠駅（じっこくとうげ）
Jikkokutōge-Noboriguchi Station,十国峠登り口駅（じっこくとうげのぼりぐち）
Jimba Station,陣場駅（じんば）
Jimbohara Station,神保原駅（じんぼはら）
Jimbōchō Station,神保町駅（じんぼうちょう）
Jimmachi Station,神町駅（じんまち）
Jimmuji Station,神武寺駅（じんむじ）
Jimokuji Station,甚目寺駅（じもくじ）
Jina Station,地名駅（じな）
Jin'aigurandomae Station,仁愛グランド前駅（じんあいぐらんどまえ）
Jin'ai Joshikōkō Station,仁愛女子高校駅（じんあいじょしこうこう）
Jindai Station,神代駅 (秋田県)（じんだい）
Jingūji Station,神宮寺駅（じんぐうじ）
Jingū-mae Station,神宮前駅（じんぐうまえ）
Jingū-Marutamachi Station,神宮丸太町駅（じんぐうまるたまち）
Jingūnishi Station,神宮西駅（じんぐうにし）
Jinnoharu Station,陣原駅（じんのはる）
Jinryō Station,神領駅（じんりょう）
Jiroenbashi Station,治良門橋駅（じろえんばし）
Jirōmaru Station,次郎丸駅（じろうまる）
Jiyūgaoka Station (Tokyo),自由が丘駅（じゆうがおか）
Jiyūgaoka Station (Aichi),自由ヶ丘駅（じゆうがおか）
Jizōbashi Station,地蔵橋駅（じぞうばし）
Jizōmachi Station,地蔵町駅（じぞうまち）
Jogakuin-mae Station,女学院前駅（じょがくいんまえ）
Johoku Station,城北駅（じょうほく）
Joshidai Station,女子大駅（じょしだい）
Jōei Station,常永駅（じょうえい）
Jōetsu-Kokusai Ski-jo-mae Station,上越国際スキー場前駅（じょうえつこくさいすきーじょうまえ）
Jōgasakikaigan Station,城ヶ崎海岸駅（じょうがさきかいがん）
Jōgawara Station,城川原駅（じょうがわら）
Jōge Station,上下駅（じょうげ）
Jōgehama Station,上下浜駅（じょうげはま）
Jōhana Station,城端駅（じょうはな）
Jōko Station,上戸駅 (福島県)（じょうこ）
Jōkōji Station,定光寺駅（じょうこうじ）
Jōmōkōgen Station,上毛高原駅（じょうもうこうげん）
Jōno Station (JR Kyushu),城野駅 (JR九州)（じょうの）
Jōno Station (Kitakyushu Monorail),城野駅 (北九州高速鉄道)（じょうの）
Jōro Station,上呂駅（じょうろ）
Jōshin Station,浄心駅（じょうしん）
Jōshū-Fukushima Station,上州福島駅（じょうしゅうふくしま）
Jōshū-Ichinomiya Station,上州一ノ宮駅（じょうしゅういちのみや）
Jōshū-Nanokaichi Station,上州七日市駅（じょうしゅうなのかいち）
Jōshū-Niiya Station,上州新屋駅（じょうしゅうにいや）
Jōshū-Tomioka Station,上州富岡駅（じょうしゅうとみおか）
Jōsui Station,浄水駅（じょうすい）
Jōtō Station (Gunma),城東駅（じょうとう）
Jōtō Station (Okayama),上道駅 (岡山県)（じょうとう）
Jōyō Station,城陽駅（じょうよう）
JR Fujinomori Station,JR藤森駅（じぇいあーるふじのもり）
JR Goidō Station,JR五位堂駅（じぇいあーるごいどう）
JR Kawachi-Eiwa Station,JR河内永和駅（じぇいあーるかわちえいわ）
JR Miyamaki Station,JR三山木駅（じぇいあーるみやまき）
JR Nagase Station,JR長瀬駅（じぇいあーるながせ）
JR Namba Station,JR難波駅（じぇいあーるなんば）
JR Ogura Station,JR小倉駅（じぇいあーるおぐら）
JR Shuntokumichi Station,JR俊徳道駅（じぇいあーるしゅんとくみち）
Jūjō Station (Tokyo),十条駅 (東京都)（じゅうじょう）
Jūjō Station (Kyoto Municipal Subway),十条駅 (京都市営地下鉄)（じゅうじょう）
Jūjō Station (Kintetsu),十条駅 (近鉄)（じゅうじょう）
Jūkujō Station,十九条駅（じゅうくじょう）
Jūmonji Station,十文字駅（じゅうもんじ）
Jūnikane Station,十二兼駅（じゅうにかね）
Jūniko Station,十二湖駅（じゅうにこ）
Jūnikyō Station,十二橋駅（じゅうにきょう）
Jūnisho Station,十二所駅（じゅうにしょ）
Jūō Station,十王駅（じゅうおう）
Jūsō Station,十三駅（じゅうそう）
Kafuri Station,加布里駅（かふり）
Kaga-Kasama Station,加賀笠間駅（かがかさま）
Kagami Station,香我美駅（かがみ）
Kagamigahara Station,各務ヶ原駅（かがみがはら）
Kagamigawabashi Station,鏡川橋駅（かがみがわばし）
Kagamiishi Station,鏡石駅（かがみいし）
Kagaonsen Station,加賀温泉駅（かがおんせん）
Kagato Station,香登駅（かがと）
Kagatsume Station,蚊爪駅（かがつめ）
Kagawa Station (Yamaguchi),嘉川駅（かがわ）
Kagawa Station (Kanagawa),香川駅（かがわ）
Kagemori Station,影森駅（かげもり）
Kageno Station,影野駅（かげの）
Kagetsuenmae Station,花月園前駅（かげつえんまえ）
Kagohara Station,籠原駅（かごはら）
Kagoshima Station,鹿児島駅（かごしま）
Kagoshima-chūō Station,鹿児島中央駅（かごしまちゅうおう）
Kagoshima-chūō-eki-mae Station,鹿児島中央駅前駅（かごしまちゅうおうえきまえ）
Kagoshima-eki-mae Station,鹿児島駅前駅（かごしまえきまえ）
Kaguraoka Station,神楽岡駅（かぐらおか）
Kagurazaka Station,神楽坂駅（かぐらざか）
Kaguyama Station,香久山駅（かぐやま）
Kaibara Station,柏原駅 (兵庫県)（かいばら）
Kaida Station,貝田駅（かいだ）
Kaifu Station,海部駅（かいふ）
Kaigan-dōri Station,海岸通駅（かいがんどおり）
Kaiganji Station,海岸寺駅（かいがんじ）
Kaihimmakuhari Station,海浜幕張駅（かいひんまくはり）
Kaihotsu Station,開発駅（かいほつ）
Kai-Iwama Station,甲斐岩間駅（かいいわま）
Kaiji Station,海路駅（かいじ）
Kaijin Station,海神駅（かいじん）
Kai-Koizumi Station,甲斐小泉駅（かいこいずみ）
Kaikonoyashiro Station,蚕ノ社駅（かいこのやしろ）
Kaimei Station,開明駅（かいめい）
Kaimon Station,開聞駅（かいもん）
Kaina Station,荷稲駅（かいな）
Kainan Station,海南駅（かいなん）
Kai-Ōizumi Station,甲斐大泉駅（かいおおいずみ）
Kai-Ōshima Station,甲斐大島駅（かいおおしま）
Kairakuen Station,偕楽園駅（かいらくえん）
Kaisei Station,開成駅（かいせい）
Kai-Sumiyoshi Station,甲斐住吉駅（かいすみよし）
Kaitaichi Station,海田市駅（かいたいち）
Kai-Tokiwa Station,甲斐常葉駅（かいときわ）
Kai-Ueno Station,甲斐上野駅（かいうえの）
Kai-Yamato Station,甲斐大和駅（かいやまと）
Kaizaki Station,海崎駅（かいざき）
Kaize Station (Nagano),海瀬駅（かいぜ）
Kaize Station (Nagasaki),皆瀬駅（かいぜ）
Kaizu Station,貝津駅（かいづ）
Kaizuka Station (Fukuoka),貝塚駅 (福岡県)（かいづか）
Kaizuka Station (Osaka),貝塚駅 (大阪府)（かいづか）
Kaizuka Shiyakushomae Station,貝塚市役所前駅（かいづかしやくしょまえ）
Kaji Station,加治駅（かじ）
Kajigaya Station,梶が谷駅（かじがや）
Kajigaya Kamotsu Terminal Station,梶ヶ谷貨物ターミナル駅（かじがやかもつたーみなる）
Kajikazawaguchi Station,鰍沢口駅（かじかざわぐち）
Kajiki Station,加治木駅（かじき）
Kajikuri-Gōdaichi Station,梶栗郷台地駅（かじくりごうだいち）
Kajita Station,梶田駅（かじた）
Kajiwara Station,梶原駅（かじわら）
Kajiyashiki Station,梶屋敷駅（かじやしき）
Kakamigahara-shiyakusho-mae Station,各務原市役所前駅（かかみがはらしやくしょまえ）
Kakarima Station,掛澗駅（かかりま）
Kakegawa Station,掛川駅（かけがわ）
Kakegawa-shiyakusho-mae Station,掛川市役所前駅（かけがわしやくしょまえ）
Kakeyama Station,佳景山駅（かけやま）
Kakidaira Station,柿平駅（かきだいら）
Kakigashima Station,柿ヶ島駅（かきがしま）
Kakinoki Station,柿ノ木駅（かきのき）
Kakio Station,柿生駅（かきお）
Kakishitaonsenguchi Station,柿下温泉口駅（かきしたおんせんぐち）
Kakizaki Station,柿崎駅（かきざき）
Kakogawa Station,加古川駅（かこがわ）
Kaku Station,賀来駅（かく）
Kakuda Station,角田駅（かくだ）
Kakumodani Station,角茂谷駅（かくもだに）
Kakunodate Station,角館駅（かくのだて）
Kakuōzan Station,覚王山駅（かくおうざん）
Kamabuchi Station,釜淵駅（かまぶち）
Kamachi Station,蒲池駅 (福岡県)（かまち）
Kamado Station,釜戸駅（かまど）
Kamagafuchi Station,釜ヶ淵駅（かまがふち）
Kamagaya Station,鎌ヶ谷駅（かまがや）
Kamagayadaibutsu Station,鎌ヶ谷大仏駅（かまがやだいぶつ）
Kamaishi Station,釜石駅（かまいし）
Kamakura Station,鎌倉駅（かまくら）
Kamakurakōkō-mae Station,鎌倉高校前駅（かまくらこうこうまえ）
Kamanohana Station,釜ノ鼻駅（かまのはな）
Kamase Station,鎌瀬駅（かませ）
Kamasusaka Station,蒲須坂駅（かますさか）
Kamata Station (Tokyo),蒲田駅（かまた）
Kamata Station (Ehime),鎌田駅（かまた）
Kamate Station,鎌手駅（かまて）
Kamatori Station,鎌取駅（かまとり）
Kamaya Station,釜谷駅（かまや）
Kambara Station,蒲原駅（かんばら）
Kambe Station,神戸駅 (愛知県)（かんべ）
Kameari Station,亀有駅（かめあり）
Kameda Station,亀田駅（かめだ）
Kamedake Station,亀嵩駅（かめだけ）
Kamegawa Station,亀川駅（かめがわ）
Kamei Station,亀井駅（かめい）
Kameido Station,亀戸駅（かめいど）
Kameidosuijin Station,亀戸水神駅（かめいどすいじん）
Kamejima Station,亀島駅（かめじま）
Kamenokō Station,亀甲駅（かめのこう）
Kameoka Station,亀岡駅（かめおか）
Kameyama Station (Hyogo),亀山駅 (兵庫県)（かめやま）
Kameyama Station (Mie),亀山駅 (三重県)（かめやま）
Kamezaki Station,亀崎駅（かめざき）
Kami Station,加美駅（かみ）
Kami-Ainoura Station,上相浦駅（かみあいのうら）
Kami-Arisu Station,上有住駅（かみありす）
Kami-Arita Station,上有田駅（かみありた）
Kami-Ashibetsu Station,上芦別駅（かみあしべつ）
Kami-Asō Station,上麻生駅（かみあそう）
Kami-Atsunai Station,上厚内駅（かみあつない）
Kamidaki Station,上滝駅（かみだき）
Kami-Fukawa Station,上深川駅（かみふかわ）
Kami-Fukuoka Station,上福岡駅 （かみふくおか）
Kami-Furano Station,上富良野駅（かみふらの）
Kami-Futada Station,上二田駅（かみふただ）
Kamigōri Station,上郡駅（かみごおり）
Kamigō Station,上郷駅（かみごう）
Kami-Gōra Station,上強羅駅（かみごうら）
Kamihama Station,上浜駅（かみはま）
Kami-Hinokinai Station,上桧木内駅（かみひのきない）
Kami-Hobara Station,上保原駅（かみほばら）
Kami-Honami Station,上穂波駅（かみほなみ）
Kamihongō Station,上本郷駅（かみほんごう）
Kami-Hommachi Station,上本町駅（かみほんまち）
Kamihori Station,上堀駅（かみほり）
Kami-Horomui Station,上幌向駅（かみほろむい）
Kami-Horonobe Station,上幌延駅（かみほろのべ）
Kami-Hoshikawa Station,上星川駅（かみほしかわ）
Kamiichi Station,上市駅（かみいち）
Kamiichiba Station,上市場駅（かみいちば）
Kamiichiman Station,上一万駅（かみいちまん）
Kami-Igusa Station,上井草駅（かみいぐさ）
Kamiiida Station,上飯田駅（かみいいだ）
Kami-Iijima Station,上飯島駅（かみいいじま）
Kami-Ijūin Station,上伊集院駅（かみいじゅういん）
Kami-Imai Station,上今井駅（かみいまい）
Kami-Imaichi Station,上今市駅（かみいまいち）
Kami-Imari Station,上伊万里駅（かみいまり）
Kamiiso Station,上磯駅（かみいそ）
Kami-Ita Station,上伊田駅（かみいた）
Kami-Itabashi Station,上板橋駅 （かみいたばし）
Kami-Iwami Station,上石見駅（かみいわみ）
Kamiizumi Station,上泉駅（かみいずみ）
Kamijō Station (Nagano),上条駅 (長野県)（かみじょう）
Kamijō Station (Niigata),上条駅 (新潟県)（かみじょう）
Kami-Kagawa Station,上嘉川駅（かみかがわ）
Kami-Kambai Station,上神梅駅（かみかんばい）
Kami-Kanada Station,上金田駅（かみかなだ）
Kami-Kasada Station,上笠田駅（かみかさだ）
Kami-Katagiri Station,上片桐駅（かみかたぎり）
Kami-Katsura Station,上桂駅（かみかつら）
Kamikawa Station,上川駅（かみかわ）
Kamikawaguchi Station,上川口駅 （かみかわぐち）
Kami-Kawatachi Station,上川立駅（かみかわたち）
Kamikitachō Station,上北町駅（かみきたちょう）
Kamikitadai Station,上北台駅（かみきただい）
Kami-Kitazawa Station,上北沢駅（かみきたざわ）
Kamikoma Station,上狛駅（かみこま）
Kami-Kosawa Station,上古沢駅（かみこさわ）
Kami-Kumagaya Station,上熊谷駅（かみくまがや）
Kami-Kumamoto Station,上熊本駅（かみくまもと）
Kami-Kumamoto-eki-mae Station,上熊本駅前駅（かみくまもとえきまえ）
Kami-Kuwanagawa Station,上桑名川駅（かみくわながわ）
Kamimachi Station,上町駅（かみまち）
Kamimaezu Station,上前津駅（かみまえづ）
Kami-Mamba Station,上万場駅（かみまんば）
Kami-Marubuchi Station,上丸渕駅（かみまるぶち）
Kami-Matsukawa Station,上松川駅（かみまつかわ）
Kami-Mio Station,上三緒駅（かみみお）
Kami-Mita Station,上三田駅（かみみた）
Kamimiyori-Shiobaraonsenguchi Station,上三依塩原温泉口駅（かみみよりしおばらおんせんぐち）
Kamimizo Station,上溝駅（かみみぞ）
Kamimoku Station,上牧駅 (群馬県)（かみもく）
Kami-Morioka Station,上盛岡駅（かみもりおか）
Kami-Moroe Station,上諸江駅（かみもろえ）
Kamimuragakuenmae Station,神村学園前駅（かみむらがくえんまえ）
Kami-Nagatoro Station,上長瀞駅（かみながとろ）
Kami-Nagaya Station,上永谷駅（かみながや）
Kaminaka Station,上中駅（かみなか）
Kami-Nakazato Station,上中里駅（かみなかざと）
Kaminobe Station,上野部駅（かみのべ）
Kaminochō Station,上の町駅（かみのちょう）
Kami-noge Station,上野毛駅（かみのげ）
Kaminogō Station,上之郷駅（かみのごう）
Kami-Nojiri Station,上野尻駅（かみのじり）
Kaminokuni Station,上ノ国駅（かみのくに）
Kaminoma Station,上野間駅（かみのま）
Kaminome Station,上野目駅（かみのめ）
Kami-Nopporo Station,上野幌駅（かみのっぽろ）
Kaminoshō Station,上ノ庄駅（かみのしょう）
Kaminotaishi Station,上ノ太子駅（かみのたいし）
Kaminoyama Onsen Station,かみのやま温泉駅（かみのやまおんせん）
Kamio Station,神尾駅（かみお）
Kamioboro Station,上尾幌駅（かみおぼろ）
Kamiogawa Station,上小川駅（かみおがわ）
Kamioka Station,上岡駅（かみおか）
Kami-Ōi Station,上大井駅（かみおおい）
Kami-Ōoka Station,上大岡駅（かみおおおか）
Kami-Ōtsuki Station,上大月駅（かみおおつき）
Kami-Otai Station,上小田井駅（かみおたい）
Kamisakaemachi Station,上栄町駅（かみさかえまち）
Kamisakai Station,上境駅（かみさかい）
Kamisawa Station (Aichi),神沢駅（かみさわ）
Kamisawa Station (Hyōgo),上沢駅（かみさわ）
Kami-Sendai Station,上川内駅（かみせんだい）
Kami-Shakujii Station,上石神井駅（かみしゃくじい）
Kami-Shinjō Station,上新庄駅 （かみしんじょう）
Kami-Shirataki Station,上白滝駅（かみしらたき）
Kamishiro Station,神城駅（かみしろ）
Kami-Shishiori Station,上鹿折駅（かみししおり）
Kamisu Station,神栖駅（かみす）
Kami-Sugaya Station,上菅谷駅（かみすがや）
Kamisuge Station,上菅駅（かみすげ）
Kamisugi Station (Akita),上杉駅（かみすぎ）
Kamisugi Station (Hiroshima),神杉駅（かみすぎ）
Kami-Suwa Station,上諏訪駅（かみすわ）
Kami-Tanoura Station,上田浦駅（かみたのうら）
Kamitobaguchi Station,上鳥羽口駅（かみとばぐち）
Kamitode Station,上戸手駅（かみとで）
Kami-Toyota Station,上豊田駅（かみとよた）
Kamiura Station,上浦駅（かみうら）
Kami-Usuki Station,上臼杵駅（かみうすき）
Kami-Uwa Station,上宇和駅（かみうわ）
Kami-Wakuya Station,上涌谷駅（かみわくや）
Kamiya Station,神谷駅（かみや）
Kamiyachō Station,神谷町駅（かみやちょう）
Kami-Yagi Station,上八木駅（かみやぎ）
Kami-Yakuno Station,上夜久野駅（かみやくの）
Kamiya-chō-higashi Station,紙屋町東駅（かみやちょうひがし）
Kamiya-chō-nishi Station,紙屋町西駅（かみやちょうにし）
Kamiyama Station,神山駅（かみやま）
Kami-Yamaguchi Station,上山口駅（かみやまぐち）
Kamiyashiro Station,上社駅（かみやしろ）
Kamiyasu Station,上安駅（かみやす）
Kami-Yokosuka Station,上横須賀駅（かみよこすか）
Kami-Yonai Station,上米内駅（かみよない）
Kami-Yuzawa Station,上湯沢駅（かみゆざわ）
Kammaki Station,上牧駅 (大阪府)（かんまき）
Kamo Station (Fukuoka),賀茂駅（かも）
Kamo Station (Kyoto),加茂駅 (京都府)（かも）
Kamo Station (Mie),加茂駅 (三重県)（かも）
Kamo Station (Niigata),加茂駅 (新潟県)（かも）
Kamogata Station,鴨方駅（かもがた）
Kamogawa Station,鴨川駅（かもがわ）
Kamogō Station,加茂郷駅（かもごう）
Kamoi Station,鴨居駅（かもい）
Kamojima Station,鴨島駅（かもじま）
Kamonaka Station,加茂中駅（かもなか）
Kamono Station,加茂野駅（かもの）
Kamonomiya Station (Saitama),加茂宮駅（かものみや）
Kamonomiya Station (Kanagawa),鴨宮駅（かものみや）
Kamuriki Station,冠着駅（かむりき）
Kamuro Station,学文路駅（かむろ）
Kan'onji Station,観音寺駅 (香川県)（かんおんじ）
Kanada Station,金田駅（かなだ）
Kanae Station,鼎駅（かなえ）
Kanagawa Station (Okayama),金川駅（かながわ）
Kanagawa Station (Kanagawa),神奈川駅（かながわ）
Kanagawa-Shinmachi Station,神奈川新町駅（かながわしんまち）
Kanagi Station,金木駅（かなぎ）
Kanahashi Station,金橋駅（かなはし）
Kanaishihara Station,金石原駅（かないしはら）
Kanamachi Station,金町駅 (東京都)（かなまち）
Kanamechō Station,要町駅（かなめちょう）
Kanameta Station,要田駅（かなめた）
Kanasashi Station,金指駅（かなさし）
Kanashima Station,金島駅 (群馬県)（かなしま）
Kanatake Station,金武駅（かなたけ）
Kanaya Station,金谷駅（かなや）
Kanayagawa Station,金谷川駅（かなやがわ）
Kanayama Station (Aichi),金山駅 (愛知県)（かなやま）
Kanayama Station (Fukuoka),金山駅 (福岡県)（かなやま）
Kanayama Station (Hokkaido),金山駅 (北海道)（かなやま）
Kanayama-chō Station,銀山町駅（かなやまちょう）
Kanayasawa Station,金谷沢駅（かなやさわ）
Kanazawa Station,金沢駅（かなざわ）
Kanazawa-Bunko Station,金沢文庫駅（かなざわぶんこ）
Kanazawa-Hakkei Station,金沢八景駅（かなざわはっけい）
Kanazuka Station,金塚駅（かなづか）
Kanda Station (Fukuoka),苅田駅（かんだ）
Kanda Station (Tokyo),神田駅 (東京都)（かんだ）
Kandaimae Station,関大前駅（かんだいまえ）
Kandatsu Station,神立駅（かんだつ）
Kaneage Station,金上駅（かねあげ）
Kanegafuchi Station,鐘ヶ淵駅（かねがふち）
Kanegasaki Station,金ヶ崎駅（かねがさき）
Kanehama Station,金浜駅（かねはま）
Kanehana Station,金華駅（かねはな）
Kaneko Station,金子駅（かねこ）
Kanemaru Station,金丸駅（かねまる）
Kanente Station,金手駅（かねんて）
Kaneshima Station,金島駅 (福岡県)（かねしま）
Kangetsukyō Station,観月橋駅（かんげつきょう）
Kani Station,可児駅（かに）
Kanie Station,蟹江駅（かにえ）
Kanigawa Station,可児川駅（かにがわ）
Kanisawa Station,蟹沢駅（かにさわ）
Kanita Station,蟹田駅（かにた）
Kanjōdōri-higashi Station,環状通東駅（かんじょうどおりひがし）
Kankanzaka Station,韓々坂駅（かんかんざか）
Kanmata Station,神俣駅（かんまた）
Kanmonkaikyō Mekari Station,関門海峡めかり駅（かんもんかいきょうめかり）
Kannabe Station,神辺駅（かんなべ）
Kannai Station,関内駅（かんない）
Kannami Station,函南駅（かんなみ）
Kanno Station,神野駅（かんの）
Kannon Station,観音駅（かんのん）
Kannonji Station,観音寺駅 (愛知県)（かんのんじ）
Kannonmachi Station,観音町駅 (福井県)（かんのんまち）
Kannoura Station,甲浦駅（かんのうら）
Kanō Station (Gifu),加納駅 (岐阜県)（かのう）
Kanō Station (Miyazaki),加納駅 (宮崎県)（かのう）
Kanohara Station,神農原駅（かのはら）
Kanomata Station,鹿又駅（かのまた）
Kanon-machi Station,観音町駅 (広島県)（かんおんまち）
Kanose Station,鹿瀬駅（かのせ）
Kansai Airport Station,関西空港駅（かんさいくうこう）
Kantakunosato Station,干拓の里駅（かんたくのさと）
Kanuma Station,鹿沼駅（かぬま）
Kanyūsha-Hikosan Station,歓遊舎ひこさん駅（かんゆうしゃひこさん）
Kanzaki Station (Saga),神埼駅（かんざき）
Kanzaki Station (Kagawa),神前駅 (香川県)（かんざき）
Kanzakigawa Station,神崎川駅（かんざきがわ）
Kanzō Station,閑蔵駅（かんぞう）
Karahashimae Station,唐橋前駅（からはしまえ）
Karakasa Station,唐笠駅（からかさ）
Karakawa Station,辛皮駅（からかわ）
Karakida Station,唐木田駅（からきだ）
Karasaki Station,唐崎駅（からさき）
Karashimachō Station,辛島町駅（からしまちょう）
Karasue Station,烏江駅（からすえ）
Karasuma Station,烏丸駅（からすま）
Karasuma-Oike Station,烏丸御池駅（からすまおいけ）
Karasuyama Station,烏山駅（からすやま）
Karatodai Station,唐櫃台駅（からとだい）
Karatsu Station,唐津駅（からつ）
Kareigawa Station,嘉例川駅（かれいがわ）
Karibasawa Station,狩場沢駅（かりばさわ）
Karikawa Station,狩川駅（かりかわ）
Kariu Station,狩生駅（かりう）
Kariwa Station,刈羽駅（かりわ）
Kariwano Station,刈和野駅（かりわの）
Kariya Station,刈谷駅（かりや）
Kariyadomae Station,借宿前駅（かりやどまえ）
Kariyashi Station,刈谷市駅（かりやし）
Kariyasuka Station,苅安賀駅（かりやすか）
Karuga Station,狩留家駅（かるが）
Karugahama Station,かるが浜駅（かるがはま）
Karuizawa Station,軽井沢駅（かるいざわ）
Karumo Station,苅藻駅（かるも）
Kasadera Station,笠寺駅（かさでら）
Kasado Station,加佐登駅（かさど）
Kasagami-Kurohae Station,笠上黒生駅（かさがみくろはえ）
Kasagi Station,笠置駅（かさぎ）
Kasahata Station,笠幡駅（かさはた）
